%time,field.cur_steer_state0,field.cur_steer_state1,field.cur_steer_state2,field.cur_steer_dir0,field.cur_steer_dir1,field.cur_steer_dir2,field.cur_steer_vel0,field.cur_steer_vel1,field.cur_steer_vel2,field.cur_arm_angle0,field.cur_arm_angle1,field.cur_spring_length0,field.cur_spring_length1,field.odom_axis0,field.odom_axis1,field.odom_axis2,field.odom_cir0,field.odom_cir1,field.odom_cir2,field.cur_current10,field.cur_current11,field.cur_current12,field.cur_current20,field.cur_current21,field.cur_current22,field.cur_current30,field.cur_current31,field.cur_current32,field.mech_pos0,field.mech_pos1,field.mech_pos2
1754551774552394238,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,70.95999908447266,57.709999084472656,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.05999999865889549,0.0,0.0,-0.10000000149011612,0.0,0.0,0.009999999776482582,0.0,0.0,-0.0
1754551774562350105,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,70.95999908447266,57.709999084472656,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
1754551774572413169,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,68.55000305175781,57.709999084472656,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-0.009999999776482582,0.0,0.0,0.0
1754551774582413461,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.66000366210938,71.05000305175781,57.709999084472656,57.88999938964844,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-0.009999999776482582,0.0,0.0,0.0
1754551774592396828,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.66000366210938,71.05000305175781,57.70000076293945,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,-0.10000000149011612,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
1754551774602430833,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,69.52999877929688,57.720001220703125,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-0.05999999865889549,0.0,0.0,0.0
1754551774612541665,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,69.62000274658203,57.720001220703125,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
1754551774622498758,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,69.62000274658203,57.709999084472656,57.88999938964844,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
1754551774632480428,4,4,4,1.5700000524520874,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.83999633789062,69.44000244140625,57.709999084472656,57.88999938964844,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.05999999865889549,0.0,0.0,-0.05999999865889549,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
1754551774642522511,4,4,4,1.5800000429153442,1.559999942779541,1.5800000429153442,0.0,0.0,0.0,69.75,68.63999938964844,57.709999084472656,57.880001068115234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.05999999865889549,0.0,0.0,0.009999999776482582,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
