%time,field.cur_steer_state0,field.cur_steer_state1,field.cur_steer_state2,field.cur_steer_dir0,field.cur_steer_dir1,field.cur_steer_dir2,field.cur_steer_vel0,field.cur_steer_vel1,field.cur_steer_vel2,field.cur_arm_angle0,field.cur_arm_angle1,field.cur_spring_length0,field.cur_spring_length1,field.odom_axis0,field.odom_axis1,field.odom_axis2,field.odom_cir0,field.odom_cir1,field.odom_cir2,field.cur_current10,field.cur_current11,field.cur_current12,field.cur_current20,field.cur_current21,field.cur_current22,field.cur_current30,field.cur_current31,field.cur_current32,field.mech_pos0,field.mech_pos1,field.mech_pos2
1755592249938803179,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.54000091552734,69.38999938964844,55.02000045776367,55.119998931884766,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.10000000149011612,0.20999999344348907,0.6499999761581421,-0.07999999821186066,0.38999998569488525,-0.14000000059604645,0.019999999552965164,0.019999999552965164,0.03999999910593033,68.54000091552734,69.38999938964844,27.3700008392334
1755592249958804806,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.36000061035156,69.56999969482422,55.02000045776367,55.119998931884766,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.10000000149011612,0.23999999463558197,0.5799999833106995,-0.07999999821186066,0.46000000834465027,-0.14000000059604645,-0.019999999552965164,0.09000000357627869,-0.029999999329447746,68.36000061035156,69.56999969482422,27.3700008392334
1755592249978882908,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,70.51000213623047,69.56999969482422,55.02000045776367,55.11000061035156,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.10000000149011612,0.23999999463558197,0.5799999833106995,-0.07999999821186066,0.5400000214576721,-0.14000000059604645,-0.019999999552965164,0.09000000357627869,0.009999999776482582,70.51000213623047,69.56999969482422,27.3700008392334
1755592249998753739,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.54000091552734,69.66000366210938,55.029998779296875,55.119998931884766,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.1599999964237213,0.23999999463558197,0.5899999737739563,-0.009999999776482582,0.5400000214576721,-0.14000000059604645,-0.019999999552965164,0.09000000357627869,0.009999999776482582,68.54000091552734,69.66000366210938,27.3700008392334
1755592250018888333,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.36000061035156,69.38999938964844,55.02000045776367,55.130001068115234,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.1599999964237213,0.23999999463558197,0.5899999737739563,-0.07999999821186066,0.4099999964237213,-0.14000000059604645,0.03999999910593033,-0.019999999552965164,0.009999999776482582,68.36000061035156,69.38999938964844,27.3700008392334
1755592250038796782,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.36000061035156,69.38999938964844,55.02000045776367,55.130001068115234,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.1599999964237213,0.23999999463558197,0.5899999737739563,-0.07999999821186066,0.4099999964237213,-0.14000000059604645,0.019999999552965164,-0.019999999552965164,0.009999999776482582,68.36000061035156,69.38999938964844,27.3700008392334
1755592250058891000,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,70.05999755859375,69.56999969482422,55.02000045776367,55.130001068115234,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.03999999910593033,0.23999999463558197,0.5899999737739563,-0.05000000074505806,0.7200000286102295,-0.14000000059604645,0.019999999552965164,-0.019999999552965164,0.009999999776482582,70.05999755859375,69.56999969482422,27.3700008392334
1755592250078909557,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.54000091552734,69.38999938964844,55.02000045776367,55.130001068115234,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.03999999910593033,0.23999999463558197,0.5899999737739563,-0.07999999821186066,0.3400000035762787,-0.14000000059604645,0.03999999910593033,-0.019999999552965164,0.009999999776482582,68.54000091552734,69.38999938964844,27.3700008392334
1755592250098889988,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,68.2699966430664,69.66000366210938,55.029998779296875,55.119998931884766,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.03999999910593033,0.23999999463558197,0.5299999713897705,-0.07999999821186066,0.3400000035762787,-0.14000000059604645,-0.05000000074505806,-0.019999999552965164,0.009999999776482582,68.2699966430664,69.66000366210938,27.3700008392334
1755592250118872057,0,0,0,1.5700000524520874,1.5700000524520874,1.5700000524520874,0.0,0.0,0.0,70.41999816894531,69.30000305175781,55.02000045776367,55.11000061035156,0.46000000834465027,-0.8700000047683716,-0.8500000238418579,0.18000000715255737,0.3100000023841858,0.25,-0.03999999910593033,0.23999999463558197,0.5299999713897705,-0.07999999821186066,0.5400000214576721,-0.07999999821186066,-0.05000000074505806,-0.019999999552965164,0.009999999776482582,70.41999816894531,69.30000305175781,27.3700008392334
